abandon vt.；丢弃；放弃，抛弃
ability n.；能力；能耐，本领
able adj.；有能力的；出色的
abnormal adj.；不正常的；变态的
aboard adv.；在船(车)上；上船
about prep.；关于；在…周围
above prep.；在…上面；高于
abroad adv.(在)国外；到处
absence n.；缺席，不在场；缺乏
absent adj.；不在场的；缺乏的
absolute adj.；绝对的；纯粹的
absolutely adv.；完全地；绝对地
absorb vt.；吸收；使专心
abstract adj.；抽象的；n.；摘要
abundant adj.；丰富的；大量的
abuse vt.；滥用；虐待；n.；滥用
academic adj.；学院的；学术的
academy n.；私立中学；专科院校
accelerate vt.(使)加快；促进
acceleration n.；加速；加速度
accent n.；口音，腔调；重音
accept vt.vi.；接受；同意
acceptable adj.；可接受的，合意的
acceptance n.；接受，验收；承认
access n.；接近；通道，入口
accessory n.；同谋，从犯；附件
accident n.；意外的；事故
accidental adj.；偶然的；非本质的
accommodate vt.；容纳；供应，供给
accommodation n.；招待设备；预定铺位
accompany vt.；陪伴，陪同；伴随
accomplish vt.；达到(目的)；完成
accord vt.；使一致；给予
accordance n.；一致；和谐；授予
accordingly adv.；因此，所以；照着
account n.；记述；解释；帐目
accumulate vt.；积累；vi.；堆积
accuracy n.；准确(性)；准确度
accurate adj.；准确的，正确无误的
accuse vt.；指责；归咎于
affection n.；慈爱，爱；爱慕
afford vt.；担负得起…；提供
afraid adj.；害怕的；担心的
Africa n.；非洲
African adj.；非洲的；n.；非洲人
after prep.；在…以后；次于
afternoon n.；下午，午后
afterward adv.；后来，以后
again adv.；又一次；而且
against prep.；倚在；逆，对着
age n.；年龄；时代；vt.；变老
agency n.；经办；代理；代理处
agent n.；代理人，代理商
aggressive adj.；侵略的；好斗的
ago adv.；以前
agony n.；极度痛苦
agree vi.；同意；持相同意见
agreement n.；协定，协议；同意
agriculture n.；农业，农艺；农学
ahead adv.；在前；向前；提前
aid n.；帮助，救护；助手
aim vi.；瞄准，针对；致力
air n.；空气；空中；外观
aircraft n.；飞机，飞行器
airline n.；航空公司；航线
airplane n.；飞机
airport n.；机场，航空站
alarm n.；惊恐，忧虑；警报
alcohol n.；酒精，乙醇
alike adj.；同样的，相同的
alive adj.；活着的；活跃的
all adj.；全部的；prep.；全部
allow vt.；允许，准许；任
alloy n.；合金；(金属的)成色
almost adv.；几乎，差不多
alone adj.；单独的；adv.；单独地
along prep.；沿着；adv.；向前
aloud adv.；出声地，大声地
alphabet n.；字母表，字母系统
already adv.；早已，已经
also adv.；亦，也；而且，还
alter vt.；改变，变更；改做
alternative n.；替换物；取舍，抉择
although conj.；尽管，虽然
altitude n.；高，高度；高处
altogether adv.；完全；总而言之
apology n.；道歉，认错，谢罪
apparatus n.；器械，仪器；器官
apparent adj.；表面上的；明显的
appeal vi.&n.；呼吁；申述
appear vi.；出现；来到；似乎
appearance n.；出现，来到；外观
appetite n.；食欲，胃口；欲望
apple n.；苹果，苹果树
appliance n.；用具，器具，器械
applicable adj.；能应用的；适当的
application n.；请求，申请；施用
apply vt.；应用，实施，使用
appoint vt.；任命，委任；约定
appointment n.；任命；约定，约会
appreciate vt.；欣赏；领会；感谢
approach vt.；向…靠近；n.；靠近
appropriate adj.；适当的，恰当的
approval n.；赞成，同意；批准
approve vt.；赞成，称许；批准
approximate adj.；近似的；vt.；近似
approximately adv.；近似地，大约
April n.；四月
Arabian adj.；阿拉伯的
arbitrary adj.；随心所欲的；专断的
architecture n.；建筑学；建筑式样
area n.；面积；地区；领域
argue vi.；争论，争辩，辩论
argument n.；争论，辩论；理由
arise vi.；出现；由…引起
arithmetic n.；算术，四则运算
arm n.；臂；臂状物；武器
army n.；军队；陆军
around prep.；在…周围
arouse vt.；引起，唤起；唤醒
arrange vt.；筹备；整理；调解
arrangement n.；整理，排列；安排
arrest vt.；逮捕，拘留；阻止
arrival n.；到达；到来；到达者
arrive vi.；到达；来临；达到
arrow n.；箭；箭状物
art n.；艺术，美术；技术
article n.；文章；条款；物品
artificial adj.；人工的；娇揉造作的
